"Название компании / Имя Эксперта","Направление бизнеса","Какую категорию хотели бы добавь?","Коротко о компании (2–3 предложения)","Какие рекламные возможности у вас есть? (можно выбрать несколько) ","Расценки на платную рекламу","Бартер","Расскажите про свою аудиторию в соцсетях, если есть","Поделитесь цифрами: сколько заказов/клиентов вы получаете ежемесячно?","Ваш Ник в Telegram для связи","Лого компании"
"Игра ""ПсихоМаркетинг""","Образование","","Игра «ПсихоМаркетинг» - маркетинговая игра нового времени! Не имеющая аналогом на мировом рынке.","Размещение печатных материалов (флаеры, визитки, стенды, витрины и т.д.); Публикация рекламы в соцсетях, на сайте, в подкастах и т.д.; Организация совместных мероприятий (вебинары, выступления, конференции и т.д.); Промоакции (реферальная система, розыгрыши ,конкурсы и т.д.)","","Размещение печатных материалов (флаеры, визитки, стенды, витрины и т.д.); Публикация рекламы в соцсетях, на сайте, в подкастах и т.д.; Организация совместных мероприятий (вебинары, выступления, конференции и т.д.); Промоакции (реферальная система, розыгрыши ,конкурсы и т.д.)","Telegram - 200 подписчиков","Более 50","@dora_hahamir","аватарки/psycho-marketing.jpg"
"Лотос","Фитнес и wellness","","Магнитно-волновой массаж ","Digital реклама (Соц.сети, сайт и т.д.); Печатная реклама (флаера, визитки и т.д.)","","","","","","аватарки/lotos.jpg"
